Country Name,CO2 emissions (metric tons per capita),Access to electricity (% of population),Renewable energy consumption (% of total final energy consumption),Terrestrial protected areas (% of total land area),Population growth (annual %),"Population, total",Urban population growth (annual %)
Dominica,1.8910642606713022,98.12432193756102,9.406797524269678,22.011216305558197,0.12072327413088073,71159.22222222222,0.5520657349520002
Dominican Republic,2.1624251883785583,98.5285665,17.21204944967525,25.16450125637807,1.1564058913729356,10163595.888888888,2.3919234251530708
Early-demographic dividend,2.226420628523402,82.86112234689217,26.007158340765187,12.7054683103865,1.409381276617112,3079699846.888889,2.3278160744184513
East Asia & Pacific,6.165303303776126,96.71237475495917,13.522211344114867,16.393341440492467,0.6718376421505181,2267633201.4444447,2.3437198190508557
East Asia & Pacific (IDA & IBRD countries),5.664477021187528,97.10521074896192,15.816934983214717,14.963140271786765,0.7196735429540551,1998695123.8888888,2.770188158389837
East Asia & Pacific (excluding high income),5.618068375778807,96.35272818713541,15.82955758030495,14.869948485344198,0.7169295330468941,2023786611.4444444,2.740630546193691
Ecuador,2.5579671916787783,98.25829925,12.877168582153585,21.134079289918464,1.6140630193968524,15995696.333333334,1.8473488231484632
Egypt,2.435395362901702,99.86292457580566,5.691038724035771,13.137370255425003,2.1463179732073567,90477536.22222222,2.059494670986005
El Salvador,1.0351166578047806,94.86180037036132,28.193111905527616,8.777524448225039,0.4648104579663528,6298188.555555556,1.6785379088871002
Equatorial Guinea,5.137813004541302,66.41214773995536,6.395295360257953,19.267839302429465,4.142544995961601,1123899.3333333333,5.411312107016565
Eritrea,0.17338107319281548,44.04831075668335,80.359785189737,4.8715939593562325,1.4850097462429002,3192203.5,3.170900791373275
Estonia,14.17659191091622,100.0,25.383355013007463,20.205649880494402,-0.11407467270109582,1320401.888888889,-0.007581289014321658
Eswatini,1.03423278075431,60.681146616969265,64.48653667719275,4.188672137524887,0.7978334910138115,1097443.2222222222,1.539648023790589
Ethiopia,0.09658621999124832,33.836758422851574,93.25208755113609,18.473306871100135,2.755628252751668,98227826.8888889,5.036376739707711
Euro area,6.980716797449974,100.0,14.590542803374731,25.8001230629668,0.21112839329173333,338510735.0,0.4958023897004958
Europe & Central Asia,7.344857654580484,99.98217276684963,11.852512548995717,11.6598373335905,0.4151198021594966,903266381.4444444,0.6698085435947294
Europe & Central Asia (IDA & IBRD countries),7.710311276494743,99.96418520149564,6.683756481020801,9.032534806983653,0.5121839560128447,450543590.7777778,0.7372794591486903
Europe & Central Asia (excluding high income),7.7200030613508535,99.96042130459034,6.07118174669147,8.554496582370577,0.5761808386144067,408314636.7777778,0.8283632998859015
European Union,6.89730851518719,100.0,14.812281964033053,25.908129075662103,0.21936260186994616,508281447.2222222,0.4997699101346343
Faroe Islands,12.80889575649808,100.0,5.241270182549491,2.3327288562213,0.15898834277601692,48042.666666666664,0.516733445896996
Fiji,1.317374530515096,92.88773441314697,33.096448903341084,5.40746458334726,0.3818445004949015,869151.6666666666,1.3276881968641732
Finland,9.707538223046232,100.0,38.432153357549886,14.995527735508867,0.3667814401114329,5451908.555555556,0.623883316899275
Fragile and conflict affected situations,0.8631582223499576,47.88441390583108,51.592346078185585,10.983184515129599,2.2967028167666985,472114746.2222222,3.199487212373606
France,5.043461572976588,100.0,12.576030648729102,25.871310669266666,0.38480230806512294,66183378.333333336,0.7109534647685267
French Polynesia,3.070083343149182,100.0,9.921316909934506,1.95546306516142,0.5086434753990045,271851.6666666667,0.8910676412628636
Gabon,2.898736897791808,90.08758869171143,81.12555773308917,21.675170706028535,3.3409051718482567,1877665.0,3.9038290825314985
The Gambia,0.23921064478084383,52.199142837524406,53.86054759262714,4.108241382414167,3.0019414845291776,2029233.5555555555,4.214196769133761
Georgia,2.1167723385751596,99.84688472747803,32.48560094200735,8.332398102982575,-0.24568961468414774,3735653.0,0.43457650543275095
Germany,9.176757358772642,100.0,12.2295368254728,37.727948677490936,0.13827402123871504,81525116.1111111,0.2162986769448897
Ghana,0.46535156066433137,72.58019720489503,45.46313640100282,15.058253198938331,2.31392155984037,27246180.222222224,3.5781409710722705
Gibraltar,14.251990050229299,100.0,0.0,30.505614545080334,0.05053291114327169,33686.555555555555,0.05053291114327169
Greece,6.898781199847699,100.0,14.265055657906018,35.13089390888413,-0.38612080337834187,10912008.444444444,0.06214144550330331
Greenland,10.58031264192002,100.0,12.991904404035978,41.1424015675448,-0.0589439754401379,56431.0,0.29608541844768516
Grenada,2.476333964461804,91.53375301361086,10.993298470272633,9.641672115497387,0.5796156161887079,108859.44444444444,0.7031230782657129
Guatemala,0.8796735452247916,87.97680504943847,64.62529779053347,23.94858605216953,2.0698760130269678,15929699.333333334,2.7311931334734645
Guinea,0.2390586062083754,29.731396818161002,76.69079609426466,33.99079599093026,2.442497979565309,11217872.111111112,3.3215417734467367
Guinea-Bissau,0.1574910126626364,16.404491567611686,87.41047420342277,16.661769036898,2.595023881523423,1694817.4444444445,3.5703890663471167
Guyana,2.4975620115340877,86.54989128112794,28.989857741280034,8.738324539219299,0.45544754559171113,763616.7777777778,0.3461834599886837
Haiti,0.23231424515298582,39.39356479644776,79.66508677707169,1.3899219871186002,1.4094209056997933,10543478.555555556,3.324094746694012
Heavily indebted poor countries (HIPC),0.24516901341320096,34.705502949591875,78.48512821730553,17.900334640943665,2.826719111119698,699948869.2222222,4.173436733275104
High income,11.153045469007319,99.97169063650091,10.492625898207011,14.856536607240132,0.5678372047203416,1184144729.1111112,0.8028965620801899
Honduras,1.0284969771529742,86.338507125,51.54135175730007,25.403701505207934,1.8038827398765425,8954798.666666666,3.0095112507062223
Hong Kong,6.144034634913231,100.0,0.8894340166251418,41.8891202456268,0.7370153978158526,7236100.0,0.7370153978158551
Hungary,4.567915080438593,100.0,15.51575429528775,22.598372106374928,-0.28506037459532785,9873940.444444444,0.1745150101377514
IBRD only,4.421337371388071,93.62534374397971,17.37181892107485,14.471945535341598,0.9615247134110425,4598620269.333333,2.1822287172170025
IDA & IBRD total,3.4835652022607597,83.13290410287206,22.834600702386883,14.726567366710633,1.2801952146112887,6101193382.444445,2.437864667132141
IDA blend,0.90324324309827,62.51622320421512,62.12278203065253,14.926284562180234,2.3433740407794637,508283032.7777778,3.5163192582738674
IDA only,0.3402633007719582,44.715309938967664,70.683094975483,15.6683840115005,2.230647224976972,994290080.3333334,3.691551340116461
IDA total,0.5321227408223974,50.733243311326966,66.4398137709159,15.481497859838369,2.2687035518867216,1502573113.1111112,3.623180641153685
Iceland,5.921190617042855,100.0,76.46721384183853,17.914354863193335,1.1608162595382272,330238.77777777775,1.1966149693936454
India,1.5554586361496,82.31992301940917,37.88784011626515,5.967679601142127,1.167290170769481,1294749017.4444444,2.352483593679867
Indonesia,2.113225858236088,96.46895321789205,37.775436644860655,12.067130909198132,1.276174043183808,254953893.66666666,2.5947699014835552
Iran,8.049451496017996,99.65735816955566,0.932709539671253,8.612755161379752,1.2761250170409721,77601720.44444445,2.020450450222901
Iraq,4.564321184897234,99.33827934265136,1.187927903347364,1.5356080786287267,3.1395791531707844,34232840.222222224,3.3775020451107367
Ireland,7.83072835803002,100.0,7.268047841009872,14.440841235667667,0.7532617783864161,4682168.222222222,1.0795365582820506
Israel,8.73400922326361,100.0,5.1530825867096866,19.944399384766538,1.902757982415527,8233144.444444444,1.9817866784467846
Italy,6.150030941488204,100.0,14.836462782492015,21.5293730725878,0.24838229315615873,60171749.222222224,0.6056751200480623
Jamaica,2.6830772559384637,95.52356185913087,15.548746673394035,15.914342355384667,0.5391835911949261,2873925.888888889,0.9699271521687076
Japan,9.484778432509536,100.0,5.107792058657417,26.045025755343,-0.1325006976061403,127300378.66666667,0.06659357565686373
Jordan,2.918662837932404,99.8067455291748,3.075031149364078,1.7570524281294333,4.084804074982959,8778804.111111112,4.849524291159532
Kazakhstan,15.02723766760128,99.88139512267296,1.3535593354173334,3.3013904412221335,1.4138076981138568,17294014.777777776,1.5447883599323535
Kenya,0.29648223627560516,43.57186641693115,76.19534159325703,12.362239748548268,2.536981052506321,46701857.55555555,4.24284976082963
Kiribati,0.5869283541097706,82.47064832627608,3.5109683922098838,22.363608993351733,1.5315905304191688,109418.33333333333,3.1934515948505418
North Korea,1.9387376362407096,36.41665601730346,19.53533300433315,2.4368943355220405,0.4987361980174798,25053490.888888888,0.8088994606419108
South Korea,11.638331234547818,100.0,1.9574985062474235,11.524083330083668,0.5124633513087071,50692029.55555555,0.46129436441900545
Kuwait,28.59710988872712,100.0,0.0,17.500451309093467,4.254868809031783,3634665.222222222,4.25486880903178
Kyrgyz Republic,1.5468894347440179,99.73227329254149,24.749364102226934,6.638461988751853,1.7750317916662433,5852800.0,2.106050521688575
Lao PDR,0.2634182941100744,81.7110159225391,63.59938716576732,16.6814704182764,1.5381147834198134,6647097.111111111,3.44833396090771
Late-demographic dividend,6.5757244871026,98.94523995818298,14.107579969426935,15.520474691405267,0.6008352386421273,2234948127.0,2.171891491594491
Latin America & Caribbean,3.02673493228831,96.96395357038764,27.650367752643664,23.34493045893956,1.0512954144290239,616287042.2222222,1.3817195844475978
Latin America & Caribbean (excluding high income),2.880802578361334,96.85717700194493,27.885089951684535,23.723464460523534,1.0664372501626305,584924952.7777778,1.413981250573148
Latin America & the Caribbean (IDA & IBRD countries),2.9924523672380956,96.90577796962593,27.963600998353034,23.381013005942865,1.0862740509739983,600264805.8888888,1.4265611459118699
Latvia,3.5757776241063914,100.0,37.81677729991873,18.1708807939244,-1.1762082840715122,2000429.5555555555,-1.1225949966380695
Least developed countries: UN classification,0.29145706064566895,40.59651773152815,74.6939029249092,15.006899501281731,2.3759827202418267,920850120.7777778,4.0690269931018115
